PDB1	PDB2	SDM
1gcv_B	3d1k_B	140.49393033
1gcv_B	Ancestor_model_B	194.946776977
1hbr_B	1hds_B	147.512937556
1hbr_B	1out_B	134.218648246
1hbr_B	1qpw_B	115.34312507
1hbr_B	1s0h_B	116.207815819
1hbr_B	1spg_B	123.055447274
1hbr_B	1v4w_B	130.178336777
1hbr_B	1wmu_B	93.8097266916
1hbr_B	1xq5_B	120.986326163
1hbr_B	2d5x_B	103.607054249
1hbr_B	2dn3_B	115.369907236
1hbr_B	2qss_B	102.368814255
1hbr_B	3d1k_B	123.269426391
1hbr_B	Ancestor_model_B	117.749388938
1hds_B	1out_B	170.508522357
1hds_B	1qpw_B	145.381822702
1hds_B	1s0h_B	148.846047968
1hds_B	1spg_B	173.73583101
1hds_B	1v4w_B	176.518477837
1hds_B	1wmu_B	158.994104474
1hds_B	1xq5_B	178.186283337
1hds_B	2d5x_B	136.957925989
1hds_B	2dn3_B	154.112595713
1hds_B	2qss_B	139.743844163
1hds_B	3d1k_B	164.745127718
1hds_B	Ancestor_model_B	161.208898467
1out_B	1qpw_B	134.169642975
1out_B	1s0h_B	143.013644005
1out_B	1spg_B	119.590158547
1out_B	1v4w_B	101.837392741
1out_B	1wmu_B	138.828679796
1out_B	1xq5_B	134.743916362
1out_B	2d5x_B	141.878009209
1out_B	2dn3_B	158.736073323
1out_B	2qss_B	142.663650584
1out_B	3d1k_B	117.169765599
1out_B	Ancestor_model_B	164.645873417
1qpw_B	1s0h_B	114.0552948
1qpw_B	1spg_B	143.297634127
1qpw_B	1v4w_B	137.370912758
1qpw_B	1wmu_B	116.47459665
1qpw_B	1xq5_B	141.092381104
1qpw_B	2d5x_B	104.249477526
1qpw_B	2dn3_B	111.028051699
1qpw_B	2qss_B	107.660467064
1qpw_B	3d1k_B	132.340712351
1qpw_B	Ancestor_model_B	21.886501587
1s0h_B	1spg_B	157.769280224
1s0h_B	1v4w_B	151.13100117
1s0h_B	1wmu_B	117.787837113
1s0h_B	1xq5_B	144.732222306
1s0h_B	2d5x_B	104.822899675
1s0h_B	2dn3_B	115.115466456
1s0h_B	2qss_B	114.104039889
1s0h_B	3d1k_B	132.522139508
1s0h_B	Ancestor_model_B	22.4202434001
1spg_B	1v4w_B	132.535864517
1spg_B	1wmu_B	130.589955014
1spg_B	1xq5_B	116.140922569
1spg_B	2d5x_B	140.933192073
1spg_B	2dn3_B	151.939276925
1spg_B	2qss_B	142.291430814
1spg_B	3d1k_B	140.969833222
1spg_B	Ancestor_model_B	33.4276574335
1v4w_B	1wmu_B	134.552038822
1v4w_B	1xq5_B	128.510027519
1v4w_B	2d5x_B	146.575414868
1v4w_B	2dn3_B	169.08503675
1v4w_B	2qss_B	149.492349389
1v4w_B	3d1k_B	105.383105511
1v4w_B	Ancestor_model_B	36.9650874783
1wmu_B	1xq5_B	125.130350341
1wmu_B	2d5x_B	100.996472511
1wmu_B	2dn3_B	113.74811188
1wmu_B	2qss_B	98.9642883607
1wmu_B	3d1k_B	124.520904366
1wmu_B	Ancestor_model_B	21.1918064786
1xq5_B	2d5x_B	137.090859375
1xq5_B	2dn3_B	147.192717067
1xq5_B	2qss_B	142.800937252
1xq5_B	3d1k_B	135.38041582
1xq5_B	Ancestor_model_B	143.823964506
2d5x_B	2dn3_B	92.2536448744
2d5x_B	2qss_B	86.6975318587
2d5x_B	3d1k_B	133.481097292
2d5x_B	Ancestor_model_B	15.6716837782
2dn3_B	2qss_B	96.4109956828
2dn3_B	3d1k_B	146.356207181
2dn3_B	Ancestor_model_B	6.31775990214
2qss_B	3d1k_B	130.021559123
2qss_B	Ancestor_model_B	100.705423853
3d1k_B	Ancestor_model_B	31.0547981703
